building_type,filing_rate_longrun_pre2019_cuts,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_female,mean_case_p_male
COMMERCIAL,0,250,0.116,0.188,0.696,0.436864933333333,0.563135066666667
COMMERCIAL,(0-5%],604,0.100993377483444,0.142384105960265,0.756622516556291,0.364880693524651,0.63511930647535
COMMERCIAL,(5-10%],260,0.107692307692308,0.161538461538462,0.730769230769231,0.531045641025641,0.468954358974359
COMMERCIAL,(10-20%],148,0.108108108108108,0.141891891891892,0.75,0.362634211711712,0.637365788288288
COMMERCIAL,20%+,368,0.114130434782609,0.133152173913043,0.752717391304348,0.649732880434783,0.350267119565217
COMMERCIAL,missing,12,0.0833333333333333,0,0.916666666666667,0.751583333333333,0.248416666666667
DETACHED,0,311,0.128617363344051,0.106109324758842,0.765273311897106,0.670541500535906,0.329458499464094
DETACHED,(0-5%],112,0.0892857142857143,0.0535714285714286,0.857142857142857,0.547225669642857,0.452774330357143
DETACHED,(5-10%],524,0.156488549618321,0.108778625954198,0.734732824427481,0.612360715648855,0.387639284351145
DETACHED,(10-20%],360,0.158333333333333,0.122222222222222,0.719444444444445,0.619131111111111,0.380868888888889
DETACHED,20%+,666,0.106606606606607,0.108108108108108,0.785285285285285,0.660249349349349,0.339750650650651
DETACHED,missing,2,0,0,1,0.996,0.004
HIGHRISE_MULTI,0,2066,0.110358180058083,0.135043562439497,0.75459825750242,0.78834508309132,0.21165491690868
HIGHRISE_MULTI,(0-5%],6588,0.219186399514268,0.210230722525804,0.570582877959927,0.651806931289212,0.348193068710788
HIGHRISE_MULTI,(5-10%],1519,0.193548387096774,0.229756418696511,0.576695194206715,0.534838501206934,0.465161498793066
HIGHRISE_MULTI,(10-20%],3606,0.346921797004992,0.295341098169717,0.357737104825291,0.517385298708502,0.482614701291498
HIGHRISE_MULTI,20%+,9262,0.539192399049881,0.257719714964371,0.203087885985748,0.592763932016123,0.407236067983877
HIGHRISE_MULTI,missing,6,0,0,1,0.219483333333333,0.780516666666667
LOWRISE_MULTI,0,1845,0.0878048780487805,0.115447154471545,0.796747967479675,0.6464024779006,0.3535975220994
LOWRISE_MULTI,(0-5%],7024,0.18251708428246,0.175825740318907,0.641657175398633,0.559770938798886,0.440229061201114
LOWRISE_MULTI,(5-10%],7787,0.221266212918967,0.198921279054835,0.579812508026198,0.575322437884875,0.424677562115125
LOWRISE_MULTI,(10-20%],12921,0.240616051389211,0.212599643990403,0.546784304620385,0.566041672471171,0.433958327528829
LOWRISE_MULTI,20%+,35605,0.358376632495436,0.239657351495577,0.401966016008988,0.573070376913355,0.426929623086645
LOWRISE_MULTI,missing,255,0.0901960784313725,0.117647058823529,0.792156862745098,0.639054575163399,0.360945424836601
MIDRISE_MULTI,0,605,0.231404958677686,0.190082644628099,0.578512396694215,0.467564909090909,0.532435090909091
MIDRISE_MULTI,(0-5%],1950,0.170769230769231,0.167179487179487,0.662051282051282,0.450959594505495,0.549040405494506
MIDRISE_MULTI,(5-10%],1198,0.278797996661102,0.256260434056761,0.464941569282137,0.412079312743461,0.587920687256539
MIDRISE_MULTI,(10-20%],1814,0.201212789415656,0.211686879823594,0.58710033076075,0.482024400671147,0.517975599328853
MIDRISE_MULTI,20%+,1863,0.474503488996243,0.217928073000537,0.307568438003221,0.543306664877438,0.456693335122562
MIDRISE_MULTI,missing,147,0.054421768707483,0.0204081632653061,0.925170068027211,0.53742052154195,0.46257947845805
OTHER,0,653,0.0811638591117917,0.104134762633997,0.814701378254211,0.554137889229199,0.445862110770802
OTHER,(0-5%],1861,0.077377753895755,0.0596453519613111,0.862976894142934,0.476409733118395,0.523590266881605
OTHER,(5-10%],482,0.0601659751037344,0.053941908713693,0.885892116182573,0.529956621715076,0.470043378284924
OTHER,(10-20%],509,0.0255402750491159,0.037328094302554,0.93713163064833,0.588296037982973,0.411703962017027
OTHER,20%+,802,0.0374064837905237,0.0411471321695761,0.9214463840399,0.699596113881962,0.300403886118038
OTHER,missing,59,0.101694915254237,0.0508474576271187,0.847457627118644,0.525231355932203,0.474768644067797
ROW,0,17896,0.0810795708538221,0.076050514081359,0.842869915064819,0.742435772572217,0.257564227427783
ROW,(0-5%],2367,0.143219264892269,0.124630333755809,0.732150401351922,0.56792054358541,0.432079456414589
ROW,(5-10%],23723,0.127934915482865,0.0957720355772879,0.776293048939848,0.666319650977258,0.333680349022743
ROW,(10-20%],18791,0.122186152945559,0.103187696237561,0.77462615081688,0.669466521409692,0.330533478590308
ROW,20%+,38361,0.0959568311566435,0.0908474753004353,0.813195693542921,0.683721955445821,0.316278044554179
ROW,missing,132,0.0454545454545455,0.053030303030303,0.901515151515152,0.565061742424243,0.434938257575758
SMALL_MULTI_2_4,0,4586,0.0915830789358919,0.0955080680331444,0.812908853030964,0.644492574839574,0.355507425160426
SMALL_MULTI_2_4,(0-5%],5859,0.127496159754224,0.107356204130398,0.765147636115378,0.575513318825738,0.424486681174262
SMALL_MULTI_2_4,(5-10%],5463,0.14277869302581,0.114039904814205,0.743181402159985,0.586768004199972,0.413231995800028
SMALL_MULTI_2_4,(10-20%],8465,0.129828706438275,0.114116952155936,0.756054341405789,0.605945712443394,0.394054287556606
SMALL_MULTI_2_4,20%+,7864,0.119532044760936,0.10707019328586,0.773397761953205,0.634446024711767,0.365553975288233
SMALL_MULTI_2_4,missing,4,0.25,0.25,0.5,0.74965,0.25035
TWIN,0,2583,0.0994967092528068,0.109562524196671,0.790940766550523,0.645508075235514,0.354491924764486
TWIN,(0-5%],1916,0.136743215031315,0.106993736951983,0.756263048016701,0.581513784173377,0.418486215826623
TWIN,(5-10%],3802,0.153340347185692,0.1070489216202,0.739610731194108,0.603174901242454,0.396825098757546
TWIN,(10-20%],4180,0.141626794258373,0.12822966507177,0.730143540669856,0.597663831339713,0.402336168660287
TWIN,20%+,5841,0.110768703989043,0.107515836329396,0.781715459681561,0.630899790275638,0.369100209724363
TWIN,missing,1,0,0,1,0.0157,0.9843
