building_type,n_cases,retaliatory_share,plausibly_retaliatory_share,non_retaliatory_share,mean_case_p_female,mean_case_p_male
COMMERCIAL,1642,0.107795371498173,0.149208282582217,0.74299634591961,0.46861547029368,0.53138452970632
DETACHED,1975,0.131645569620253,0.107341772151899,0.761012658227848,0.635599981434599,0.364400018565401
HIGHRISE_MULTI,23047,0.356271965982557,0.237124137631796,0.406603896385647,0.611464941806288,0.388535058193711
LOWRISE_MULTI,65437,0.291257239787888,0.218637773736571,0.490104986475541,0.572847679544083,0.427152320455916
MIDRISE_MULTI,7577,0.27240332585456,0.203378645902072,0.524218028243368,0.47795861054549,0.52204138945451
OTHER,4366,0.0629867155290884,0.059551076500229,0.877462207970683,0.548647976026874,0.451352023973126
ROW,101270,0.106724597610349,0.0924163128270959,0.800859089562556,0.684514575683017,0.315485424316983
SMALL_MULTI_2_4,32241,0.123662417418815,0.108526410471139,0.767811172110046,0.609618240263187,0.390381759736814
TWIN,18323,0.127762920919063,0.112372428095836,0.759864650985101,0.614426400334734,0.385573599665266
