building_type,n_transfers,median_price,p25_price,p75_price,median_units,median_price_per_unit,n_sheriff_deed,pct_sheriff
ROW,169627,80000,33500,166000,1,75000,18151,10.7
SMALL_MULTI_2_4,23962,163000,78000,265000,1,120000,1773,7.4
TWIN,22207,151000,73000,238000,1,140000,2095,9.4
OTHER,5341,215000,65000,380000,1,160000,568,10.6
DETACHED,4312,180000,75000,285000,1,117500,372,8.6
LOWRISE_MULTI,3015,550000,250000,1469500,1,302500,135,4.5
COMMERCIAL,1009,319000,130000,1050000,2,150000,44,4.4
MIDRISE_MULTI,811,1135000,550000,2335000,2,4e+05,25,3.1
HIGHRISE_MULTI,105,17500000,5650000,3.9e+07,86,240739.130434783,0,0
