year,building_type,n_transfers,median_price
2006,COMMERCIAL,68,253500
2006,DETACHED,320,140000
2006,HIGHRISE_MULTI,4,16672794
2006,LOWRISE_MULTI,197,345000
2006,MIDRISE_MULTI,51,739000
2006,OTHER,162,50000
2006,ROW,13852,60975
2006,SMALL_MULTI_2_4,1841,127000
2006,TWIN,1738,128670
2007,COMMERCIAL,61,265000
2007,DETACHED,277,155000
2007,HIGHRISE_MULTI,6,12375000
2007,LOWRISE_MULTI,191,392500
2007,MIDRISE_MULTI,45,666250
2007,OTHER,123,35000
2007,ROW,11527,61000
2007,SMALL_MULTI_2_4,1596,115000
2007,TWIN,1439,127309
2008,COMMERCIAL,43,228000
2008,DETACHED,177,115000
2008,LOWRISE_MULTI,148,393044
2008,MIDRISE_MULTI,25,950000
2008,OTHER,87,83333.33
2008,ROW,8772,53950
2008,SMALL_MULTI_2_4,1141,117000
2008,TWIN,1092,123750
2009,COMMERCIAL,25,1e+05
2009,DETACHED,200,125000
2009,HIGHRISE_MULTI,3,2550000
2009,LOWRISE_MULTI,77,270000
2009,MIDRISE_MULTI,31,632500
2009,OTHER,72,21500
2009,ROW,7475,48000
2009,SMALL_MULTI_2_4,995,110000
2009,TWIN,938,105000
2010,COMMERCIAL,34,222500
2010,DETACHED,210,106850
2010,HIGHRISE_MULTI,3,11690267
2010,LOWRISE_MULTI,138,312914.5
2010,MIDRISE_MULTI,42,757500
2010,OTHER,58,72500
2010,ROW,7465,44100
2010,SMALL_MULTI_2_4,1081,1e+05
2010,TWIN,962,96600
2011,COMMERCIAL,38,116048.275
2011,DETACHED,146,149000
2011,HIGHRISE_MULTI,2,13911500
2011,LOWRISE_MULTI,127,4e+05
2011,MIDRISE_MULTI,42,8e+05
2011,OTHER,56,71250
2011,ROW,6240,43000
2011,SMALL_MULTI_2_4,998,88750
2011,TWIN,799,84900
2012,COMMERCIAL,34,273182.5
2012,DETACHED,171,158000
2012,HIGHRISE_MULTI,8,5861750
2012,LOWRISE_MULTI,149,595000
2012,MIDRISE_MULTI,55,6e+05
2012,OTHER,63,62000
2012,ROW,5820,53000
2012,SMALL_MULTI_2_4,943,135000
2012,TWIN,739,119900
2013,COMMERCIAL,45,220000
2013,DETACHED,217,150000
2013,HIGHRISE_MULTI,4,4709000
2013,LOWRISE_MULTI,173,480000
2013,MIDRISE_MULTI,49,925000
2013,OTHER,77,37000
2013,ROW,7002,55000
2013,SMALL_MULTI_2_4,1143,132500
2013,TWIN,913,102500
2014,COMMERCIAL,48,332000
2014,DETACHED,253,160000
2014,HIGHRISE_MULTI,6,31432500
2014,LOWRISE_MULTI,172,405000
2014,MIDRISE_MULTI,58,1312500
2014,OTHER,108,50000
2014,ROW,7824,52500
2014,SMALL_MULTI_2_4,1212,135000
2014,TWIN,1066,119600
2015,COMMERCIAL,62,333250
2015,DETACHED,236,150000
2015,HIGHRISE_MULTI,12,11587782.5
2015,LOWRISE_MULTI,168,550000
2015,MIDRISE_MULTI,48,1e+06
2015,OTHER,139,41500
2015,ROW,9387,59000
2015,SMALL_MULTI_2_4,1241,149120
2015,TWIN,1114,120000
2016,COMMERCIAL,53,370000
2016,DETACHED,257,150000
2016,HIGHRISE_MULTI,9,16350000
2016,LOWRISE_MULTI,168,447000
2016,MIDRISE_MULTI,48,1014187.5
2016,OTHER,204,30000
2016,ROW,11677,61000
2016,SMALL_MULTI_2_4,1512,141649.5
2016,TWIN,1516,125000
2017,COMMERCIAL,82,305000
2017,DETACHED,265,142000
2017,HIGHRISE_MULTI,3,6260225.96
2017,LOWRISE_MULTI,186,562500
2017,MIDRISE_MULTI,45,1600000
2017,OTHER,438,135000
2017,ROW,11586,78000
2017,SMALL_MULTI_2_4,1736,160000
2017,TWIN,1575,143000
2018,COMMERCIAL,70,241250
2018,DETACHED,257,197400
2018,HIGHRISE_MULTI,5,3.7e+07
2018,LOWRISE_MULTI,178,732500
2018,MIDRISE_MULTI,38,2037500
2018,OTHER,603,175000
2018,ROW,11245,95150
2018,SMALL_MULTI_2_4,1618,185000
2018,TWIN,1570,168000
2019,COMMERCIAL,90,430000
2019,DETACHED,284,210000
2019,HIGHRISE_MULTI,5,28141500
2019,LOWRISE_MULTI,209,620000
2019,MIDRISE_MULTI,47,1450000
2019,OTHER,590,190565
2019,ROW,10732,110000
2019,SMALL_MULTI_2_4,1449,204000
2019,TWIN,1406,185000
2020,COMMERCIAL,41,3e+05
2020,DETACHED,235,270000
2020,HIGHRISE_MULTI,7,20700000
2020,LOWRISE_MULTI,140,813055.14
2020,MIDRISE_MULTI,30,1660000
2020,OTHER,498,225000
2020,ROW,8533,138500
2020,SMALL_MULTI_2_4,1122,243000
2020,TWIN,1185,209900
2021,COMMERCIAL,81,630000
2021,DETACHED,282,280000
2021,HIGHRISE_MULTI,9,63150000
2021,LOWRISE_MULTI,236,1387750
2021,MIDRISE_MULTI,56,2120000
2021,OTHER,664,279450
2021,ROW,10733,170000
2021,SMALL_MULTI_2_4,1537,275000
2021,TWIN,1428,254250
2022,COMMERCIAL,64,697500
2022,DETACHED,258,275000
2022,HIGHRISE_MULTI,15,34700000
2022,LOWRISE_MULTI,180,1045000
2022,MIDRISE_MULTI,54,1950000
2022,OTHER,580,285000
2022,ROW,9267,170000
2022,SMALL_MULTI_2_4,1284,295000
2022,TWIN,1327,265000
2023,COMMERCIAL,46,682500
2023,DETACHED,183,285000
2023,HIGHRISE_MULTI,3,1270000
2023,LOWRISE_MULTI,113,1e+06
2023,MIDRISE_MULTI,29,1650000
2023,OTHER,478,280000
2023,ROW,6962,167000
2023,SMALL_MULTI_2_4,964,280000
2023,TWIN,943,265000
2024,COMMERCIAL,24,355000
2024,DETACHED,84,313000
2024,HIGHRISE_MULTI,1,20936474.79
2024,LOWRISE_MULTI,65,712000
2024,MIDRISE_MULTI,18,1858730
2024,OTHER,341,325000
2024,ROW,3528,185000
2024,SMALL_MULTI_2_4,549,307000
2024,TWIN,457,294000
