q_relative,size_binary,mean_rate,se,n
-12,1 unit,0.0101751888920857,0.00028692682106432,132086
-12,>1 unit,0.00981933653391911,0.000430724406572972,31062
-11,1 unit,0.00997670337649725,0.000286813307454764,132208
-11,>1 unit,0.0105716477790642,0.000434731587035106,31079
-10,1 unit,0.0104016945305998,0.000294030119084021,132190
-10,>1 unit,0.00937264628130679,0.00041460232828911,30932
-9,1 unit,0.0110021198835952,0.000297405238310956,131611
-9,>1 unit,0.00896206932067371,0.000395369712978287,30719
-8,1 unit,0.0103717692928622,0.000295901861239711,131318
-8,>1 unit,0.00973544402627383,0.000423314354975558,30480
-7,1 unit,0.0106561631705909,0.000292581139787481,131004
-7,>1 unit,0.00961654639945134,0.000427848984245801,30234
-6,1 unit,0.0111846766881764,0.000298756952321505,131251
-6,>1 unit,0.0096077160582804,0.000418961408070736,30064
-5,1 unit,0.0118608568956874,0.000306229821370477,131778
-5,>1 unit,0.00989181980758664,0.000422202106394817,30058
-4,1 unit,0.013157398396066,0.000324414248794015,132549
-4,>1 unit,0.0104912809813214,0.000446944830291898,30160
-3,1 unit,0.0140008231376522,0.000329664587405293,133635
-3,>1 unit,0.0105909073492563,0.000431086511859058,30239
-2,1 unit,0.0152312829967946,0.000343312507403659,135051
-2,>1 unit,0.0113608287315948,0.000446751503091953,30595
-1,1 unit,0.0108996564868892,0.000291115561926898,137986
-1,>1 unit,0.00955813110965559,0.00042202450419634,31268
0,1 unit,0.00758977890644,0.000248502185025226,139398
0,>1 unit,0.00888006255166389,0.000437523370608269,31581
1,1 unit,0.00941109571027449,0.000268940029556901,140685
1,>1 unit,0.0106825650996173,0.000460837907125986,31821
2,1 unit,0.0116133567662562,0.000293982279702766,142250
2,>1 unit,0.0105652466749891,0.000430894552534051,32173
3,1 unit,0.0144834960354375,0.00032117809962798,144026
3,>1 unit,0.0118159424765523,0.000447987082203614,32645
4,1 unit,0.015927934882246,0.000336677103888955,145091
4,>1 unit,0.0127190434475223,0.000446387417642012,32925
5,1 unit,0.0162994450671126,0.000365236848882935,146324
5,>1 unit,0.0126837805528091,0.000450489055807254,33229
6,1 unit,0.0168698109874578,0.000356748534004351,147186
6,>1 unit,0.0131448944886273,0.000466389196252771,33461
7,1 unit,0.0170459549732047,0.000377164521601841,147601
7,>1 unit,0.0128530007876128,0.000451017406591578,33605
8,1 unit,0.0179263336556591,0.000385113414817731,147883
8,>1 unit,0.0125275109609518,0.000440032530760455,33789
9,1 unit,0.017334448927816,0.000371451603646367,148202
9,>1 unit,0.0128770168376007,0.000450769615921737,33852
10,1 unit,0.0174562581393952,0.000368960788683994,148199
10,>1 unit,0.0137054251099662,0.000465976713398032,33904
11,1 unit,0.0182055231301369,0.000385937238504998,148032
11,>1 unit,0.0132979621443873,0.000456609013557118,33896
12,1 unit,0.0170583056815875,0.000356668522221884,147670
12,>1 unit,0.0126620711750031,0.00045207568362803,33839
13,1 unit,0.0172742249310192,0.00036078304050274,147503
13,>1 unit,0.0130628782269115,0.000448964469084984,33821
14,1 unit,0.016987172951037,0.000383360513025039,147111
14,>1 unit,0.0129067273401364,0.000448810472192654,33853
15,1 unit,0.0165616217838532,0.00035703777809154,146604
15,>1 unit,0.0131684107152681,0.0004582133626339,33856
16,1 unit,0.0170283303194665,0.000381601460709949,145992
16,>1 unit,0.0135297975039548,0.000452795712587248,33903
17,1 unit,0.0171497252747277,0.000380434882511148,145600
17,>1 unit,0.0145032744718412,0.000485384767730527,33873
18,1 unit,0.0159029315871273,0.000361314172308558,145382
18,>1 unit,0.0130847372308328,0.000455870478063842,33828
19,1 unit,0.0168309607071077,0.000377787935119177,145268
19,>1 unit,0.0131707979116693,0.000450482175983567,33912
20,1 unit,0.0172008951626789,0.000384811762511747,145225
20,>1 unit,0.0132931861570918,0.00044535612768639,33909
