hh_size,typology,mean_inc_pct,n_households
1,"Renter, building >10 yrs old",0.453816517842099,136358
1,"Owner, building >10 yrs old",0.58112656233502,100581
1,"Renter, building <=10 yrs old",0.555811662827033,1388
1,"Owner, building <=10 yrs old",0.723547055784683,416
2,"Renter, building >10 yrs old",0.423359484756347,103063
2,"Owner, building >10 yrs old",0.574393485250922,140044
2,"Renter, building <=10 yrs old",0.530904487240649,963
2,"Owner, building <=10 yrs old",0.685298872616538,878
3,"Renter, building >10 yrs old",0.393417802831295,45951
3,"Renter, building <=10 yrs old",0.423153934055702,217
3,"Owner, building >10 yrs old",0.606050543484258,62067
3,"Owner, building <=10 yrs old",0.688818195451848,392
4,"Renter, building >10 yrs old",0.367003109344413,30803
4,"Owner, building >10 yrs old",0.609427722079354,49622
4,"Owner, building <=10 yrs old",0.641374959536546,306
5,"Renter, building >10 yrs old",0.377281522263618,15525
5,"Owner, building >10 yrs old",0.612383189753303,22206
6,"Renter, building >10 yrs old",0.38703419599766,6551
6,"Owner, building >10 yrs old",0.606442751583599,8861
7,"Renter, building >10 yrs old",0.387158878478548,2662
7,"Owner, building >10 yrs old",0.59720096226927,3825
8,"Renter, building >10 yrs old",0.392487546936509,1204
8,"Owner, building >10 yrs old",0.592970474904358,1760
9,"Renter, building >10 yrs old",0.394736424344474,556
10,"Owner, building >10 yrs old",0.554816533584622,490
9,"Owner, building >10 yrs old",0.58275530803016,855
11,"Renter, building >10 yrs old",0.414637289372355,141
5,"Owner, building <=10 yrs old",0.649490815307348,141
6,"Renter, building <=10 yrs old",0.287980422060337,20
10,"Renter, building >10 yrs old",0.404310874854709,259
5,"Renter, building <=10 yrs old",0.461002763509623,50
6,"Owner, building <=10 yrs old",0.617963027656224,48
14,"Owner, building >10 yrs old",0.498547410840533,25
16,"Owner, building >10 yrs old",0.44641211323239,11
4,"Renter, building <=10 yrs old",0.325057779058992,119
11,"Owner, building >10 yrs old",0.572340389550423,237
13,"Owner, building >10 yrs old",0.565687112720601,65
12,"Owner, building >10 yrs old",0.52929937296703,163
7,"Owner, building <=10 yrs old",0.58090023986571,17
12,"Renter, building >10 yrs old",0.455376796926671,82
16,"Renter, building >10 yrs old",0.640668202764977,5
13,"Renter, building >10 yrs old",0.3838333364129,34
14,"Renter, building >10 yrs old",0.504412841948902,11
15,"Owner, building >10 yrs old",0.481446109344495,22
17,"Owner, building >10 yrs old",0.523414218816518,5
7,"Renter, building <=10 yrs old",0.334102485371585,10
8,"Owner, building <=10 yrs old",0.423717147994093,8
20,"Owner, building >10 yrs old",0.542335115864528,4
20,"Renter, building >10 yrs old",0.47671568627451,6
18,"Owner, building >10 yrs old",0.5,4
19,"Renter, building >10 yrs old",0.5,3
11,"Owner, building <=10 yrs old",0.105042016806723,1
14,"Renter, building <=10 yrs old",0.5,1
8,"Renter, building <=10 yrs old",0.482514118300657,3
9,"Renter, building <=10 yrs old",0.760321829345755,1
12,"Owner, building <=10 yrs old",0.326722541662606,2
15,"Renter, building >10 yrs old",0.539138555412607,8
9,"Owner, building <=10 yrs old",0.518465800231663,3
10,"Owner, building <=10 yrs old",0.768939393939394,1
10,"Renter, building <=10 yrs old",0.0848019904623678,1
17,"Renter, building >10 yrs old",0.0925925925925926,1
11,"Renter, building <=10 yrs old",0.933035714285714,1
12,"Renter, building <=10 yrs old",0.429795688689585,2
